Temperature: 22.90°C, Humidity: 46.21%
Temperature: 32.69°C, Humidity: 64.01%
Temperature: 19.48°C, Humidity: 40.29%
Temperature: 30.16°C, Humidity: 63.15%
Temperature: 29.00°C, Humidity: 31.98%
Temperature: 23.23°C, Humidity: 64.68%
Temperature: 33.44°C, Humidity: 45.99%
Temperature: 15.40°C, Humidity: 53.19%
Temperature: 32.38°C, Humidity: 74.49%
Temperature: 17.82°C, Humidity: 34.83%
Temperature: 32.21°C, Humidity: 66.97%
Temperature: 29.97°C, Humidity: 44.01%
Temperature: 15.81°C, Humidity: 58.85%
Temperature: 30.41°C, Humidity: 40.92%
Temperature: 34.02°C, Humidity: 54.81%
Temperature: 28.16°C, Humidity: 31.43%
Temperature: 31.71°C, Humidity: 73.57%
Temperature: 20.92°C, Humidity: 50.95%
Temperature: 24.93°C, Humidity: 35.61%
Temperature: 21.14°C, Humidity: 46.76%
Temperature: 26.34°C, Humidity: 73.33%
Temperature: 20.44°C, Humidity: 52.71%
Temperature: 18.65°C, Humidity: 50.90%
